"p1","score1","p2","score2","completed","tournament","first_to"
"D4C",0,"Guizo",2,1544892553,"Koopa Armada",2
"Fakinha",2,"Gotelho",0,1544892585,"Koopa Armada",2
"Blaze",1,"Thales",2,1544893041,"Koopa Armada",2
"Mr. Z",0,"Leso",2,1544893052,"Koopa Armada",2
"Mick",2,"PokaTranca",0,1544893061,"Koopa Armada",2
"Celly",0,"IzZI127",2,1544893084,"Koopa Armada",2
"Sully",2,"Neoob",1,1544893090,"Koopa Armada",2
"BrianGun",2,"Aisengobay",0,1544893096,"Koopa Armada",2
"Drei",0,"Dr. Lemos",2,1544893215,"Koopa Armada",2
"chapeudopresto",2,"Linus",0,1544893336,"Koopa Armada",2
"Quantumleaper NEO",2,"LukeThomaz",0,1544893391,"Koopa Armada",2
"Maycky",2,"Renault",1,1544893537,"Koopa Armada",2
"Jayache",0,"Sabino",2,1544893568,"Koopa Armada",2
"Owlogy",0,"Daftmind",2,1544893584,"Koopa Armada",2
"Burtão",2,"Frostfire",1,1544893667,"Koopa Armada",2
"Afro",2,"Ozzy",0,1544893791,"Koopa Armada",2
"GodUsopp",0,"Maleson",2,1544893874,"Koopa Armada",2
"Luma",2,"Mini Roc",0,1544893896,"Koopa Armada",2
"Vyse",2,"IzZI127",0,1544893995,"Koopa Armada",2
"Dethnerv",2,"Artch",1,1544894027,"Koopa Armada",2
"FullMoon",2,"TROVS",0,1544894982,"Koopa Armada",2
"Roc~",2,"Mick",0,1544895017,"Koopa Armada",2
"Patraozin",0,"MiniGoku",2,1544895070,"Koopa Armada",2
"Zord",0,"Maleson",2,1544895097,"Koopa Armada",2
"Miguelindo",0,"Guizo",2,1544895197,"Koopa Armada",2
"Cyber Twilight",2,"Afro",1,1544895274,"Koopa Armada",2
"Quantumleaper NEO",0,"Fakinha",2,1544895347,"Koopa Armada",2
"Messias",1,"Sully",2,1544895543,"Koopa Armada",2
"KD",0,"Abaca",2,1544895642,"Koopa Armada",2
"Prolo",2,"Calvao",0,1544895693,"Koopa Armada",2
"Roboto",2,"chapeudopresto",0,1544896032,"Koopa Armada",2
"Danny",0,"Monad0",2,1544896046,"Koopa Armada",2
"RoD",2,"Gim",0,1544896066,"Koopa Armada",2
"Zombie Hunter",0,"Korn",2,1544896263,"Koopa Armada",2
"Sonic Orochi",2,"Pete",0,1544896322,"Koopa Armada",2
"Leso",2,"Moonflair",0,1544896489,"Koopa Armada",2
"BeBop",2,"Daftmind",0,1544896601,"Koopa Armada",2
"Sky",2,"Thiago Neoob",0,1544897224,"Koopa Armada",2
"RitsuoFox",2,"Prolo",1,1544897261,"Koopa Armada",2
"Ultimate",2,"Maycky",0,1544897297,"Koopa Armada",2
"donotc0ntinue",2,"Pe de Moleque",1,1544897374,"Koopa Armada",2
"Luij",0,"Dethnerv",2,1544897413,"Koopa Armada",2
"Elias",2,"Burtão",1,1544897498,"Koopa Armada",2
"Joaoarara",0,"SKPeter",2,1544897610,"Koopa Armada",2
"Floko",2,"Kanto",0,1544898084,"Koopa Armada",2
"Neptune",0,"RoD",2,1544898256,"Koopa Armada",2
"Afro",2,"Mr. Z",0,1544898331,"Koopa Armada",2
"BeBop",2,"Korn",0,1544898414,"Koopa Armada",2
"Jab Air",1,"Sabino",2,1544898728,"Koopa Armada",2
"Cyber Twilight",2,"BrianGun",1,1544898848,"Koopa Armada",2
"Blaze",0,"Afro",2,1544898920,"Koopa Armada",2
"BrunoLana",1,"MiniGoku",2,1544899025,"Koopa Armada",2
"chapeudopresto",2,"D4C",0,1544899094,"Koopa Armada",2
"Moonflair",2,"Ozzy",1,1544899215,"Koopa Armada",2
"Sky",2,"SKPeter",0,1544899420,"Koopa Armada",2
"Roboto",0,"Dr. Lemos",2,1544899494,"Koopa Armada",2
"Vyse",2,"Sully",0,1544899559,"Koopa Armada",2
"Sosser",2,"Abaca",0,1544899644,"Koopa Armada",2
"Quantumleaper NEO",2,"TROVS",0,1544899680,"Koopa Armada",2
"Floko",2,"Guizo",0,1544899859,"Koopa Armada",2
"Maleson",2,"RoD",0,1544899944,"Koopa Armada",2
"Luffy",2,"Thales",0,1544899986,"Koopa Armada",2
"Roc~",2,"Lorenzo",0,1544900022,"Koopa Armada",2
"Burtão",2,"Gim",0,1544900122,"Koopa Armada",2
"GodUsopp",0,"Burtão",2,1544900132,"Koopa Armada",2
"Zombie Hunter",0,"Daftmind",2,1544900367,"Koopa Armada",2
"Neptune",2,"Frostfire",0,1544900386,"Koopa Armada",2
"Miguelindo",2,"Linus",0,1544900447,"Koopa Armada",2
"RitsuoFox",2,"Monad0",0,1544900594,"Koopa Armada",2
"Ultimate",2,"ThiFesta",0,1544900610,"Koopa Armada",2
"Owlogy",0,"Maycky",2,1544900801,"Koopa Armada",2
"Jab Air",2,"Patraozin",0,1544900838,"Koopa Armada",2
"Celly",0,"Mick",2,1544900870,"Koopa Armada",2
"BrunoLana",2,"Jayache",0,1544900928,"Koopa Armada",2
"Joaoarara",2,"Gotelho",0,1544901063,"Koopa Armada",2
"Luij",2,"Calvao",0,1544901102,"Koopa Armada",2
"RoD",2,"Daftmind",0,1544901131,"Koopa Armada",2
"Luffy",2,"Leso",0,1544901218,"Koopa Armada",2
"Dr. Lemos",0,"Sky",2,1544901350,"Koopa Armada",2
"FullMoon",1,"Fakinha",2,1544901372,"Koopa Armada",2
"Elias",2,"donotc0ntinue",0,1544901572,"Koopa Armada",2
"Sabino",2,"Luma",0,1544901657,"Koopa Armada",2
"Prolo",2,"Artch",0,1544901686,"Koopa Armada",2
"Guizo",0,"Joaoarara",2,1544901737,"Koopa Armada",2
"Neptune",0,"Zord",2,1544901885,"Koopa Armada",2
"Sonic Orochi",2,"Dethnerv",0,1544902019,"Koopa Armada",2
"Roboto",2,"Quantumleaper NEO",0,1544902162,"Koopa Armada",2
"Kanto",0,"Drei",2,1544902179,"Koopa Armada",2
"Moonflair",2,"Thales",0,1544902240,"Koopa Armada",2
"Sosser",2,"MiniGoku",0,1544902272,"Koopa Armada",2
"Vyse",0,"Cyber Twilight",2,1544902560,"Koopa Armada",2
"BrianGun",2,"Mick",0,1544902570,"Koopa Armada",2
"Korn",0,"Zord",2,1544902661,"Koopa Armada",2
"Lorenzo",0,"Afro",2,1544902851,"Koopa Armada",2
"FullMoon",2,"chapeudopresto",0,1544902876,"Koopa Armada",2
"Abaca",2,"Mini Roc",0,1544903087,"Koopa Armada",2
"Messias",2,"PokaTranca",1,1544903134,"Koopa Armada",2
"Ultimate",2,"Maleson",1,1544903408,"Koopa Armada",2
"Sonic Orochi",0,"Sosser",2,1544903544,"Koopa Armada",2
"Miguelindo",1,"Drei",2,1544903609,"Koopa Armada",2
"KD",1,"Jab Air",2,1544903632,"Koopa Armada",2
"Luij",0,"Pete",2,1544903739,"Koopa Armada",2
"Joaoarara",2,"FullMoon",1,1544903880,"Koopa Armada",2
"donotc0ntinue",0,"Maycky",2,1544903964,"Koopa Armada",2
"MiniGoku",2,"Prolo",0,1544904010,"Koopa Armada",2
"Elias",0,"BeBop",2,1544904060,"Koopa Armada",2
"Messias",0,"IzZI127",2,1544904147,"Koopa Armada",2
"ThiFesta",0,"Burtão",2,1544904205,"Koopa Armada",2
"Luma",2,"Pete",0,1544904263,"Koopa Armada",2
"Sully",0,"Moonflair",2,1544904379,"Koopa Armada",2
"Dethnerv",0,"Jab Air",2,1544904482,"Koopa Armada",2
"BrunoLana",1,"Abaca",2,1544904556,"Koopa Armada",2
"Luffy",2,"Roc~",0,1544904647,"Koopa Armada",2
"Dr. Lemos",0,"Joaoarara",2,1544904663,"Koopa Armada",2
"Leso",1,"IzZI127",2,1544904904,"Koopa Armada",2
"Zord",2,"Maycky",1,1544904948,"Koopa Armada",2
"MiniGoku",1,"Jab Air",2,1544905226,"Koopa Armada",2
"BrianGun",2,"Moonflair",1,1544905419,"Koopa Armada",2
"RoD",1,"Burtão",2,1544905426,"Koopa Armada",2
"Fakinha",0,"Floko",2,1544905513,"Koopa Armada",2
"SKPeter",2,"Drei",0,1544905521,"Koopa Armada",2
"Maleson",2,"Zord",0,1544905542,"Koopa Armada",2
"Sabino",2,"RitsuoFox",0,1544905628,"Koopa Armada",2
"Roc~",2,"BrianGun",0,1544906336,"Koopa Armada",2
"Monad0",0,"Abaca",2,1544906448,"Koopa Armada",2
"RitsuoFox",0,"Jab Air",2,1544906449,"Koopa Armada",2
"SKPeter",0,"Roboto",2,1544906946,"Koopa Armada",2
"Elias",2,"Burtão",0,1544907322,"Koopa Armada",2
"Fakinha",0,"Roboto",2,1544907498,"Koopa Armada",2
"Abaca",2,"Luma",0,1544907676,"Koopa Armada",2
"Afro",2,"IzZI127",0,1544908275,"Koopa Armada",2
"Sonic Orochi",0,"Abaca",2,1544908532,"Koopa Armada",2
"Vyse",0,"Afro",2,1544908998,"Koopa Armada",2
"Elias",0,"Roboto",3,1544979289,"Koopa Armada",3
"Ultimate",3,"BeBop",0,1544979374,"Koopa Armada",3
"Abaca",3,"Roc~",0,1544979870,"Koopa Armada",3
"Sabino",0,"Sosser",3,1544980355,"Koopa Armada",3
"Afro",3,"Jab Air",2,1544981295,"Koopa Armada",3
"Floko",0,"Sky",3,1544981614,"Koopa Armada",3
"Sabino",2,"Maleson",3,1544981931,"Koopa Armada",3
"BeBop",3,"Afro",0,1544982332,"Koopa Armada",3
"Luffy",3,"Cyber Twilight",0,1544982676,"Koopa Armada",3
"Floko",1,"Abaca",3,1544983378,"Koopa Armada",3
"Sky",3,"Ultimate",0,1544983506,"Koopa Armada",3
"Luffy",3,"Sosser",0,1544984488,"Koopa Armada",3
"Cyber Twilight",3,"Roboto",2,1544984532,"Koopa Armada",3
"Maleson",3,"Cyber Twilight",0,1544985683,"Koopa Armada",3
"BeBop",3,"Abaca",2,1544985686,"Koopa Armada",3
"Sosser",3,"BeBop",2,1544987148,"Koopa Armada",3
"Luffy",2,"Sky",3,1544988798,"Koopa Armada",3
"Ultimate",3,"Maleson",1,1544990176,"Koopa Armada",3
"Sosser",1,"Ultimate",3,1544991752,"Koopa Armada",3
"Luffy",3,"Ultimate",0,1544994683,"Koopa Armada",3
"Sky",3,"Luffy",0,1544994708,"Koopa Armada",3
"Maleson",2,"Monad0",0,1548517207,"Smash Season Fest: Smash Heat",2
"Elias",0,"Haxwei",2,1548517251,"Smash Season Fest: Smash Heat",2
"Burtão",2,"Bach",0,1548517265,"Smash Season Fest: Smash Heat",2
"Mimok",2,"Sully",0,1548517294,"Smash Season Fest: Smash Heat",2
"BeBop",0,"Vyse",2,1548517311,"Smash Season Fest: Smash Heat",2
"Ditro",1,"Bent",2,1548517332,"Smash Season Fest: Smash Heat",2
"Amortax",2,"Fakinha",0,1548517342,"Smash Season Fest: Smash Heat",2
"LUGIA",2,"Thurler",0,1548517353,"Smash Season Fest: Smash Heat",2
"Rates",0,"Ihmo",2,1548517394,"Smash Season Fest: Smash Heat",2
"Afro",2,"Ozzy",0,1548517402,"Smash Season Fest: Smash Heat",2
"Dcay",0,"Naty",2,1548517411,"Smash Season Fest: Smash Heat",2
"LeoDT",0,"Arch",2,1548517429,"Smash Season Fest: Smash Heat",2
"Simic",0,"Sky",2,1548517478,"Smash Season Fest: Smash Heat",2
"RevoS",1,"Mimok",2,1548519373,"Smash Season Fest: Smash Heat",2
"Dr. Lemos",0,"Sky",2,1548519602,"Smash Season Fest: Smash Heat",2
"Gim",0,"LUGIA",2,1548519633,"Smash Season Fest: Smash Heat",2
"Roboto",2,"Ihmo",0,1548519646,"Smash Season Fest: Smash Heat",2
"Prime",2,"Naty",0,1548519656,"Smash Season Fest: Smash Heat",2
"ThiFesta",0,"Haxwei",2,1548519677,"Smash Season Fest: Smash Heat",2
"FR7",0,"Ace",2,1548519685,"Smash Season Fest: Smash Heat",2
"Ultimate",2,"Amortax",0,1548520205,"Smash Season Fest: Smash Heat",2
"RndNess",2,"Jao",1,1548520407,"Smash Season Fest: Smash Heat",2
"Luma",0,"Vyse",2,1548520646,"Smash Season Fest: Smash Heat",2
"HeadBenzi",1,"Afro",2,1548520668,"Smash Season Fest: Smash Heat",2
"Roc~",2,"RndNess",0,1548521310,"Smash Season Fest: Smash Heat",2
"Sabino",2,"Ace",0,1548521554,"Smash Season Fest: Smash Heat",2
"Flamon",1,"Arch",2,1548521573,"Smash Season Fest: Smash Heat",2
"Minus",1,"Maleson",2,1548521774,"Smash Season Fest: Smash Heat",2
"Joaoarara",2,"RoD",0,1548522291,"Smash Season Fest: Smash Heat",2
"Pete",0,"Burtão",2,1548523034,"Smash Season Fest: Smash Heat",2
"S/Chance",1,"Bent",2,1548523125,"Smash Season Fest: Smash Heat",2
"Ace",2,"Sully",0,1548523167,"Smash Season Fest: Smash Heat",2
"ThiFesta",2,"Simic",0,1548523213,"Smash Season Fest: Smash Heat",2
"RndNess",1,"BeBop",2,1548523238,"Smash Season Fest: Smash Heat",2
"Naty",0,"Fakinha",2,1548523395,"Smash Season Fest: Smash Heat",2
"HeadBenzi",2,"Thurler",0,1548523433,"Smash Season Fest: Smash Heat",2
"Ihmo",2,"Monad0",0,1548523993,"Smash Season Fest: Smash Heat",2
"Dr. Lemos",1,"Elias",2,1548524199,"Smash Season Fest: Smash Heat",2
"Minus",2,"Rates",0,1548524319,"Smash Season Fest: Smash Heat",2
"S/Chance",2,"LeoDT",0,1548524651,"Smash Season Fest: Smash Heat",2
"Gim",2,"Ozzy",1,1548524749,"Smash Season Fest: Smash Heat",2
"RevoS",2,"FR7",0,1548525484,"Smash Season Fest: Smash Heat",2
"Roboto",0,"Afro",2,1548525513,"Smash Season Fest: Smash Heat",2
"Luma",0,"Jao",2,1548525560,"Smash Season Fest: Smash Heat",2
"RoD",2,"Bach",0,1548525678,"Smash Season Fest: Smash Heat",2
"Prime",2,"Arch",1,1548526359,"Smash Season Fest: Smash Heat",2
"Roc~",2,"Burtão",1,1548529443,"Smash Season Fest: Smash Heat",2
"Sabino",2,"Haxwei",1,1548529463,"Smash Season Fest: Smash Heat",2
"RevoS",2,"Elias",0,1548529541,"Smash Season Fest: Smash Heat",2
"Roboto",2,"RevoS",0,1548529556,"Smash Season Fest: Smash Heat",2
"Jao",2,"RoD",0,1548529637,"Smash Season Fest: Smash Heat",2
"Amortax",2,"S/Chance",1,1548529654,"Smash Season Fest: Smash Heat",2
"Burtão",0,"Amortax",2,1548529678,"Smash Season Fest: Smash Heat",2
"Minus",2,"Gim",1,1548529703,"Smash Season Fest: Smash Heat",2
"HeadBenzi",2,"Ihmo",0,1548529712,"Smash Season Fest: Smash Heat",2
"Flamon",0,"Fakinha",2,1548529720,"Smash Season Fest: Smash Heat",2
"Pete",0,"BeBop",2,1548529726,"Smash Season Fest: Smash Heat",2
"ThiFesta",2,"Ace",1,1548529734,"Smash Season Fest: Smash Heat",2
"Arch",2,"Jao",1,1548529753,"Smash Season Fest: Smash Heat",2
"Bent",1,"Ultimate",2,1548529937,"Smash Season Fest: Smash Heat",2
"Sky",2,"Mimok",0,1548531156,"Smash Season Fest: Smash Heat",2
"Afro",2,"Prime",0,1548531633,"Smash Season Fest: Smash Heat",2
"LUGIA",2,"Maleson",0,1548532401,"Smash Season Fest: Smash Heat",2
"Ultimate",2,"LUGIA",1,1548532529,"Smash Season Fest: Smash Heat",2
"Arch",0,"Roboto",2,1548532696,"Smash Season Fest: Smash Heat",2
"Haxwei",2,"Minus",1,1548532719,"Smash Season Fest: Smash Heat",2
"Haxwei",2,"Amortax",0,1548532731,"Smash Season Fest: Smash Heat",2
"Mimok",2,"HeadBenzi",0,1548532754,"Smash Season Fest: Smash Heat",2
"Bent",2,"BeBop",0,1548532766,"Smash Season Fest: Smash Heat",2
"Maleson",2,"ThiFesta",0,1548532778,"Smash Season Fest: Smash Heat",2
"Joaoarara",2,"Vyse",0,1548532803,"Smash Season Fest: Smash Heat",2
"Vyse",2,"Fakinha",1,1548532840,"Smash Season Fest: Smash Heat",2
"Vyse",0,"Mimok",2,1548532912,"Smash Season Fest: Smash Heat",2
"Sky",2,"Joaoarara",0,1548534183,"Smash Season Fest: Smash Heat",2
"Roc~",2,"Sabino",1,1548534229,"Smash Season Fest: Smash Heat",2
"Maleson",0,"Bent",2,1548534345,"Smash Season Fest: Smash Heat",2
"Prime",2,"Bent",0,1548534359,"Smash Season Fest: Smash Heat",2
"LUGIA",1,"Roboto",2,1548536006,"Smash Season Fest: Smash Heat",2
"Joaoarara",2,"Haxwei",1,1548536022,"Smash Season Fest: Smash Heat",2
"Sabino",2,"Mimok",1,1548536037,"Smash Season Fest: Smash Heat",2
"Sky",3,"Ultimate",1,1548541722,"Smash Season Fest: Smash Heat",3
"Afro",2,"Roc~",3,1548541734,"Smash Season Fest: Smash Heat",3
"Sky",3,"Roc~",0,1548541749,"Smash Season Fest: Smash Heat",3
"Prime",0,"Sabino",3,1548544005,"Smash Season Fest: Smash Heat",3
"Joaoarara",0,"Roboto",3,1548544073,"Smash Season Fest: Smash Heat",3
"Sabino",0,"Roboto",3,1548599972,"Smash Season Fest: Smash Heat",3
"Roc~",1,"Roboto",3,1548599993,"Smash Season Fest: Smash Heat",3
"Sky",3,"Roboto",1,1548600012,"Smash Season Fest: Smash Heat",3
"HeadBenzi",2,"Arch",0,1550936686,"Smash Heat 2",2
"Afro",0,"LeoDT",2,1550936756,"Smash Heat 2",2
"RevoS",2,"LUGIA",0,1550936935,"Smash Heat 2",2
"Roboto",2,"Bent",0,1550937044,"Smash Heat 2",2
"Ultimate",2,"Simic",1,1550937320,"Smash Heat 2",2
"BeBop",2,"Gim",0,1550937727,"Smash Heat 2",2
"Dr. Lemos",2,"Naval",0,1550938046,"Smash Heat 2",2
"Mimok",2,"Ace",1,1550938106,"Smash Heat 2",2
"RoD",1,"Ozzy",2,1550938235,"Smash Heat 2",2
"Roc~",2,"Sully",0,1550938578,"Smash Heat 2",2
"Sabino",2,"Burtão",0,1550939067,"Smash Heat 2",2
"ChaosPrime",1,"Pete",2,1550939187,"Smash Heat 2",2
"Amortax",2,"Alonso",0,1550939257,"Smash Heat 2",2
"Maleson",2,"Lance",0,1550939653,"Smash Heat 2",2
"Ihmo",2,"JoJo Rama",0,1550939805,"Smash Heat 2",2
"ThiFesta",0,"Rates",2,1550939829,"Smash Heat 2",2
"Afro",1,"LUGIA",2,1550940318,"Smash Heat 2",2
"Roboto",2,"HeadBenzi",0,1550940363,"Smash Heat 2",2
"Bent",2,"Arch",0,1550940504,"Smash Heat 2",2
"Simic",0,"Alonso",2,1550940629,"Smash Heat 2",2
"Sully",0,"Naval",2,1550941317,"Smash Heat 2",2
"LeoDT",1,"RevoS",2,1550941414,"Smash Heat 2",2
"Lance",1,"Ace",2,1550941441,"Smash Heat 2",2
"Gim",2,"ThiFesta",1,1550941799,"Smash Heat 2",2
"Ultimate",0,"Amortax",2,1550942211,"Smash Heat 2",2
"Pete",0,"Ozzy",2,1550942391,"Smash Heat 2",2
"ChaosPrime",2,"RoD",1,1550942411,"Smash Heat 2",2
"Burtão",2,"JoJo Rama",0,1550942489,"Smash Heat 2",2
"HeadBenzi",2,"Ace",0,1550943344,"Smash Heat 2",2
"Maleson",0,"Mimok",2,1550943496,"Smash Heat 2",2
"BeBop",2,"Rates",0,1550943591,"Smash Heat 2",2
"Roc~",1,"Dr. Lemos",2,1550943641,"Smash Heat 2",2
"Sabino",2,"Ihmo",0,1550943856,"Smash Heat 2",2
"Pete",0,"Alonso",2,1550944163,"Smash Heat 2",2
"Rates",0,"Naval",2,1550944220,"Smash Heat 2",2
"Ihmo",0,"LUGIA",2,1550944395,"Smash Heat 2",2
"Roboto",0,"RevoS",2,1550944623,"Smash Heat 2",2
"Roc~",2,"Gim",0,1550944761,"Smash Heat 2",2
"Ultimate",2,"ChaosPrime",0,1550944963,"Smash Heat 2",2
"Maleson",0,"Bent",2,1550945329,"Smash Heat 2",2
"Amortax",0,"BeBop",2,1550945439,"Smash Heat 2",2
"LeoDT",2,"Burtão",0,1550945493,"Smash Heat 2",2
"Naval",1,"Ultimate",2,1550945889,"Smash Heat 2",2
"Dr. Lemos",2,"Ozzy",0,1550946227,"Smash Heat 2",2
"Alonso",0,"Roc~",2,1550946310,"Smash Heat 2",2
"Bent",2,"LUGIA",1,1550946649,"Smash Heat 2",2
"LeoDT",2,"HeadBenzi",0,1550946678,"Smash Heat 2",2
"Sabino",2,"Mimok",0,1550947278,"Smash Heat 2",2
"Roboto",2,"Roc~",1,1550947403,"Smash Heat 2",2
"Ozzy",0,"LeoDT",2,1550947452,"Smash Heat 2",2
"Amortax",0,"Bent",2,1550947634,"Smash Heat 2",2
"Mimok",2,"Ultimate",1,1550948195,"Smash Heat 2",2
"Bent",0,"Roboto",3,1550949263,"Smash Heat 2",3
"Dr. Lemos",1,"Sabino",3,1550949751,"Smash Heat 2",3
"RevoS",3,"BeBop",0,1550950769,"Smash Heat 2",3
"Mimok",3,"LeoDT",1,1550950838,"Smash Heat 2",3
"RevoS",3,"Sabino",0,1550951774,"Smash Heat 2",3
"Dr. Lemos",0,"Roboto",3,1550952115,"Smash Heat 2",3
"BeBop",3,"Mimok",0,1550952783,"Smash Heat 2",3
"Roboto",3,"BeBop",1,1550954027,"Smash Heat 2",3
"Sabino",1,"Roboto",3,1550955182,"Smash Heat 2",3
"RevoS",3,"Roboto",0,1550956115,"Smash Heat 2",3
"Ozzy",2,"Sandman",0,1552833095,"Smash N' Magic",2
"RoD",0,"Unexpected",2,1552833195,"Smash N' Magic",2
"Drutar",0,"Naval",2,1552833228,"Smash N' Magic",2
"Ryvius",0,"RndNess",2,1552833277,"Smash N' Magic",2
"Mick",0,"LeoDT",2,1552833298,"Smash N' Magic",2
"FR7",1,"DJ",2,1552833556,"Smash N' Magic",2
"ChaosPrime",2,"Arch",0,1552834222,"Smash N' Magic",2
"Gim",2,"FritzThe2",0,1552834285,"Smash N' Magic",2
"Floko",2,"Alonso",0,1552834302,"Smash N' Magic",2
"Maleson",2,"Considera",0,1552834316,"Smash N' Magic",2
"Polon",2,"ippo",0,1552834331,"Smash N' Magic",2
"LUGIA",2,"Kira",0,1552834697,"Smash N' Magic",2
"Pete",1,"Raphael Vieitas",2,1552835008,"Smash N' Magic",2
"Simic",2,"Fy",0,1552835144,"Smash N' Magic",2
"Owlogy",0,"Inu",2,1552835155,"Smash N' Magic",2
"Ramon",0,"Haxwei",2,1552835357,"Smash N' Magic",2
"Vlory",1,"Snek",2,1552835437,"Smash N' Magic",2
"S/Chance",2,"IzZI127",0,1552835636,"Smash N' Magic",2
"Sky",2,"Unexpected",0,1552836079,"Smash N' Magic",2
"Luffy",2,"DJ",0,1552836092,"Smash N' Magic",2
"JoJo Rama",0,"Dottori",2,1552836176,"Smash N' Magic",2
"Magician",0,"Ace",2,1552836220,"Smash N' Magic",2
"Bach",1,"Ihmo",2,1552836262,"Smash N' Magic",2
"Decnop",0,"Naty",2,1552836313,"Smash N' Magic",2
"Bbrazils",1,"Vallcrist",2,1552836382,"Smash N' Magic",2
"Joaoarara",0,"Naval",2,1552836416,"Smash N' Magic",2
"S/Chance",0,"Haxwei",2,1552836874,"Smash N' Magic",2
"Afro",2,"ChaosPrime",0,1552836923,"Smash N' Magic",2
"Magician",0,"Ryvius",2,1552836966,"Smash N' Magic",2
"JoJo Rama",0,"Kira",2,1552836981,"Smash N' Magic",2
"Floko",2,"Gim",0,1552837162,"Smash N' Magic",2
"RevoS",2,"Maleson",0,1552837267,"Smash N' Magic",2
"IzZI127",0,"Ramon",2,1552837328,"Smash N' Magic",2
"Snek",0,"Simic",2,1552837467,"Smash N' Magic",2
"Naty",0,"Ozzy",2,1552837544,"Smash N' Magic",2
"Ace",2,"RndNess",0,1552837693,"Smash N' Magic",2
"Ultimate",2,"Inu",0,1552837764,"Smash N' Magic",2
"Roboto",2,"Vallcrist",0,1552837906,"Smash N' Magic",2
"Raphael Vieitas",0,"Ihmo",2,1552838090,"Smash N' Magic",2
"Dottori",0,"LUGIA",2,1552838143,"Smash N' Magic",2
"BeBop",2,"Polon",0,1552838175,"Smash N' Magic",2
"ChaosPrime",2,"Ryvius",0,1552838353,"Smash N' Magic",2
"Cyber Twilight",2,"LeoDT",0,1552838721,"Smash N' Magic",2
"Decnop",1,"Sandman",2,1552839282,"Smash N' Magic",2
"Vlory",0,"Fy",2,1552841451,"Smash N' Magic",2
"Joaoarara",2,"RoD",0,1552841706,"Smash N' Magic",2
"LeoDT",2,"Sandman",0,1552841944,"Smash N' Magic",2
"Alonso",2,"FritzThe2",0,1552842043,"Smash N' Magic",2
"Naty",2,"Mick",0,1552842172,"Smash N' Magic",2
"Pete",1,"Bach",2,1552842410,"Smash N' Magic",2
"Sky",2,"Ozzy",0,1552842745,"Smash N' Magic",2
"Gim",2,"ippo",0,1552842834,"Smash N' Magic",2
"Raphael Vieitas",0,"Considera",2,1552842904,"Smash N' Magic",2
"Inu",0,"Ramon",2,1552843153,"Smash N' Magic",2
"Snek",1,"Bbrazils",2,1552843272,"Smash N' Magic",2
"Polon",2,"Alonso",0,1552843373,"Smash N' Magic",2
