"p1","score1","p2","score2","completed","tournament","first_to"
"Roboto",2,"Alunir",0,1563032853,"Fight in Rio for the Future",2
"Amortax",2,"Mimok",0,1563032867,"Fight in Rio for the Future",2
"Lucas Portes",2,"Magician",0,1563033099,"Fight in Rio for the Future",2
"Considera",1,"Ihmo",2,1563033160,"Fight in Rio for the Future",2
"Ultimate",2,"Mick",0,1563033189,"Fight in Rio for the Future",2
"Snek",2,"Bayo",0,1563033596,"Fight in Rio for the Future",2
"Sabino",2,"Anubis570",0,1563033894,"Fight in Rio for the Future",2
"Rhunii",2,"LukeThomaz",0,1563033922,"Fight in Rio for the Future",2
"Floko",2,"Sully",0,1563034038,"Fight in Rio for the Future",2
"Alunir",0,"Ace",2,1563034253,"Fight in Rio for the Future",2
"Tuca",2,"Guizo",0,1563034312,"Fight in Rio for the Future",2
"Bayo",0,"Afro",2,1563034321,"Fight in Rio for the Future",2
"Sky",2,"Inu",1,1563034348,"Fight in Rio for the Future",2
"Jaycee",2,"RitsuoFox",0,1563034528,"Fight in Rio for the Future",2
"S/Chance",2,"Lucas Portes",0,1563034877,"Fight in Rio for the Future",2
"Anubis570",1,"Nenfz",2,1563035217,"Fight in Rio for the Future",2
"Luffy",2,"GUCCI",1,1563035285,"Fight in Rio for the Future",2
"Sully",0,"BeBop",2,1563035305,"Fight in Rio for the Future",2
"Mimok",2,"Ozzy",0,1563035364,"Fight in Rio for the Future",2
"Mick",0,"Ihmo",2,1563035600,"Fight in Rio for the Future",2
"Maleson",0,"Elias",2,1563035763,"Fight in Rio for the Future",2
"GUCCI",2,"Gim",0,1563036036,"Fight in Rio for the Future",2
"Jayache",1,"FR7",2,1563036153,"Fight in Rio for the Future",2
"Inu",0,"Vyse",2,1563036230,"Fight in Rio for the Future",2
"RitsuoFox",2,"23",0,1563036265,"Fight in Rio for the Future",2
"Chino",2,"Rhunii",1,1563036397,"Fight in Rio for the Future",2
"Ultimate",2,"FireEmblem",0,1563040310,"Fight in Rio for the Future",2
"Floko",0,"Janjão",2,1563040394,"Fight in Rio for the Future",2
"Ace",2,"Nenfz",0,1563040533,"Fight in Rio for the Future",2
"Naty",1,"BeBop",2,1563040643,"Fight in Rio for the Future",2
"Mimok",2,"Vyse",1,1563041031,"Fight in Rio for the Future",2
"Jaycee",2,"Joaoarara",0,1563041151,"Fight in Rio for the Future",2
"Sabino",0,"Roboto",2,1563041478,"Fight in Rio for the Future",2
"Tuca",2,"Afro",0,1563041812,"Fight in Rio for the Future",2
"Player 7",2,"Chaud",0,1563041872,"Fight in Rio for the Future",2
"Snek",0,"mysterE",2,1563042113,"Fight in Rio for the Future",2
"S/Chance",1,"Ihmo",2,1563042531,"Fight in Rio for the Future",2
"FR7",0,"Chino",2,1563042560,"Fight in Rio for the Future",2
"Luffy",2,"Proliel",0,1563042739,"Fight in Rio for the Future",2
"Elias",2,"GUCCI",1,1563042758,"Fight in Rio for the Future",2
"Chaud",2,"Ace",0,1563043339,"Fight in Rio for the Future",2
"Stiltzkin",0,"RitsuoFox",2,1563043392,"Fight in Rio for the Future",2
"Proliel",2,"BeBop",0,1563043674,"Fight in Rio for the Future",2
"FireEmblem",0,"Mimok",2,1563043750,"Fight in Rio for the Future",2
"Sky",2,"Amortax",0,1563043762,"Fight in Rio for the Future",2
"Snek",0,"RitsuoFox",2,1563044121,"Fight in Rio for the Future",2
"Joaoarara",2,"Tuca",1,1563044340,"Fight in Rio for the Future",2
"Sabino",2,"Chino",0,1563044441,"Fight in Rio for the Future",2
"Player 7",2,"Roboto",0,1563044528,"Fight in Rio for the Future",2
"Amortax",0,"Ihmo",2,1563044906,"Fight in Rio for the Future",2
"Jaycee",0,"mysterE",2,1563045362,"Fight in Rio for the Future",2
"Floko",0,"Elias",2,1563045578,"Fight in Rio for the Future",2
"Ultimate",0,"Sky",2,1563046107,"Fight in Rio for the Future",2
"Luffy",2,"Janjão",0,1563047110,"Fight in Rio for the Future",2
"Joaoarara",0,"RitsuoFox",2,1563047901,"Fight in Rio for the Future",2
"Mimok",2,"Ihmo",1,1563049306,"Fight in Rio for the Future",2
"Proliel",1,"Elias",2,1563050557,"Fight in Rio for the Future",2
"Chaud",2,"Sabino",0,1563051208,"Fight in Rio for the Future",2
"Jaycee",0,"RitsuoFox",2,1563052164,"Fight in Rio for the Future",2
"Janjão",2,"Elias",1,1563053475,"Fight in Rio for the Future",2
"Ultimate",0,"Mimok",2,1563054486,"Fight in Rio for the Future",2
"Roboto",2,"Chaud",0,1563055138,"Fight in Rio for the Future",2
"Luffy",3,"mysterE",0,1563109522,"Fight in Rio for the Future",3
"Player 7",3,"Sky",0,1563110229,"Fight in Rio for the Future",3
"Janjão",1,"RitsuoFox",3,1563112064,"Fight in Rio for the Future",3
"Roboto",2,"Mimok",3,1563114070,"Fight in Rio for the Future",3
"Sky",3,"RitsuoFox",2,1563115944,"Fight in Rio for the Future",3
"mysterE",2,"Mimok",3,1563117810,"Fight in Rio for the Future",3
"Sky",3,"Mimok",0,1563120470,"Fight in Rio for the Future",3
"Luffy",3,"Player 7",1,1563120556,"Fight in Rio for the Future",3
"Player 7",3,"Sky",1,1563121662,"Fight in Rio for the Future",3
"Luffy",2,"Player 7",3,1563123599,"Fight in Rio for the Future",3
"Player 7",1,"Luffy",3,1563124476,"Fight in Rio for the Future",3
"Strig",0,"Joaoarara",2,1563718435,"Smash N' Magic - 3rd Edition",2
"Maleson",0,"BeBop",2,1563718520,"Smash N' Magic - 3rd Edition",2
"Morkez",2,"Gim",1,1563718682,"Smash N' Magic - 3rd Edition",2
"test",2,"P.Vicious",1,1563718931,"Smash N' Magic - 3rd Edition",2
"Mick",0,"Rhunii",2,1563719336,"Smash N' Magic - 3rd Edition",2
"Guizo",2,"DSK",0,1563719380,"Smash N' Magic - 3rd Edition",2
"Roc~",2,"Samurai do Lamen",0,1563719433,"Smash N' Magic - 3rd Edition",2
"ChaosPrime",2,"Lou",0,1563719572,"Smash N' Magic - 3rd Edition",2
"Fy",2,"Crisiru07",0,1563720220,"Smash N' Magic - 3rd Edition",2
"Ozzy",2,"Taunt",0,1563720458,"Smash N' Magic - 3rd Edition",2
"Alonso",1,"FireEmblem",2,1563720644,"Smash N' Magic - 3rd Edition",2
"LCS",2,"Jao",1,1563720773,"Smash N' Magic - 3rd Edition",2
"Conker",0,"Ren",2,1563721204,"Smash N' Magic - 3rd Edition",2
"Snek",0,"Ace",2,1563721274,"Smash N' Magic - 3rd Edition",2
"GUCCI",1,"Afro",2,1563721601,"Smash N' Magic - 3rd Edition",2
"RevoS",2,"Guizo",0,1563721877,"Smash N' Magic - 3rd Edition",2
"Sky",2,"Morkez",0,1563722044,"Smash N' Magic - 3rd Edition",2
"Ultimate",2,"Joaoarara",1,1563722268,"Smash N' Magic - 3rd Edition",2
"DJ",2,"Cyber Twilight",0,1563722549,"Smash N' Magic - 3rd Edition",2
"Roc~",2,"Professor",0,1563723021,"Smash N' Magic - 3rd Edition",2
"Rhunii",0,"Chino",2,1563723066,"Smash N' Magic - 3rd Edition",2
"BeBop",2,"Vyse",1,1563723113,"Smash N' Magic - 3rd Edition",2
"Luckstorm",2,"FR7",0,1563723365,"Smash N' Magic - 3rd Edition",2
"mysterE",2,"LCS",0,1563723665,"Smash N' Magic - 3rd Edition",2
"S/Chance",2,"Ren",0,1563723758,"Smash N' Magic - 3rd Edition",2
"Roboto",2,"FireEmblem",0,1563723902,"Smash N' Magic - 3rd Edition",2
"Mimok",2,"ChaosPrime",0,1563724350,"Smash N' Magic - 3rd Edition",2
"Haxwei",2,"Fy",0,1563724656,"Smash N' Magic - 3rd Edition",2
"Sabino",2,"Ace",0,1563724793,"Smash N' Magic - 3rd Edition",2
"test",0,"Ozzy",2,1563725047,"Smash N' Magic - 3rd Edition",2
"Talberon",0,"Afro",2,1563728433,"Smash N' Magic - 3rd Edition",2
"FireEmblem",2,"Strig",0,1563729276,"Smash N' Magic - 3rd Edition",2
"Talberon",0,"Gim",2,1563729365,"Smash N' Magic - 3rd Edition",2
"Fy",2,"DSK",0,1563729503,"Smash N' Magic - 3rd Edition",2
"Guizo",2,"Crisiru07",0,1563730108,"Smash N' Magic - 3rd Edition",2
"LCS",2,"Samurai do Lamen",0,1563730139,"Smash N' Magic - 3rd Edition",2
"P.Vicious",2,"Taunt",1,1563730366,"Smash N' Magic - 3rd Edition",2
"Rhunii",2,"Sully",0,1563730408,"Smash N' Magic - 3rd Edition",2
"Ren",0,"Maleson",2,1563731034,"Smash N' Magic - 3rd Edition",2
"Professor",2,"Jao",1,1563731075,"Smash N' Magic - 3rd Edition",2
"Vyse",2,"Conker",0,1563731463,"Smash N' Magic - 3rd Edition",2
"Joaoarara",2,"Alonso",0,1563731673,"Smash N' Magic - 3rd Edition",2
"DJ",2,"Luckstorm",0,1563731888,"Smash N' Magic - 3rd Edition",2
"Morkez",2,"GUCCI",0,1563731924,"Smash N' Magic - 3rd Edition",2
"test",2,"Snek",1,1563732164,"Smash N' Magic - 3rd Edition",2
"RevoS",2,"BeBop",0,1563732425,"Smash N' Magic - 3rd Edition",2
"Sky",2,"Roc~",0,1563732439,"Smash N' Magic - 3rd Edition",2
"Cyber Twilight",2,"FR7",0,1563732659,"Smash N' Magic - 3rd Edition",2
"Luckstorm",2,"Lou",0,1563732857,"Smash N' Magic - 3rd Edition",2
"S/Chance",0,"Haxwei",2,1563733115,"Smash N' Magic - 3rd Edition",2
"mysterE",2,"Afro",1,1563733294,"Smash N' Magic - 3rd Edition",2
"FireEmblem",2,"Mick",1,1563733481,"Smash N' Magic - 3rd Edition",2
"Ace",2,"P.Vicious",0,1563733628,"Smash N' Magic - 3rd Edition",2
"Fy",0,"Maleson",2,1563733773,"Smash N' Magic - 3rd Edition",2
"Gim",2,"LCS",1,1563734196,"Smash N' Magic - 3rd Edition",2
"Rhunii",0,"Joaoarara",2,1563734346,"Smash N' Magic - 3rd Edition",2
"Vyse",2,"Guizo",1,1563734732,"Smash N' Magic - 3rd Edition",2
"Mimok",2,"Ozzy",1,1563734939,"Smash N' Magic - 3rd Edition",2
"Ultimate",2,"Chino",0,1563735042,"Smash N' Magic - 3rd Edition",2
"BeBop",2,"Maleson",0,1563735419,"Smash N' Magic - 3rd Edition",2
"Arch",0,"Roboto",2,1563735862,"Smash N' Magic - 3rd Edition",2
"S/Chance",2,"Vyse",0,1563735916,"Smash N' Magic - 3rd Edition",2
"Roc~",2,"Gim",1,1563735959,"Smash N' Magic - 3rd Edition",2
"Professor",0,"Morkez",2,1563735999,"Smash N' Magic - 3rd Edition",2
"ChaosPrime",0,"Cyber Twilight",2,1563736295,"Smash N' Magic - 3rd Edition",2
"Chino",1,"FireEmblem",2,1563736811,"Smash N' Magic - 3rd Edition",2
"Afro",2,"Morkez",1,1563736891,"Smash N' Magic - 3rd Edition",2
"Luckstorm",2,"Ace",0,1563737131,"Smash N' Magic - 3rd Edition",2
"Sabino",0,"DJ",2,1563737185,"Smash N' Magic - 3rd Edition",2
"Arch",0,"Joaoarara",2,1563737553,"Smash N' Magic - 3rd Edition",2
"Ozzy",2,"Luckstorm",0,1563737583,"Smash N' Magic - 3rd Edition",2
"Sabino",2,"Cyber Twilight",0,1563738167,"Smash N' Magic - 3rd Edition",2
"S/Chance",2,"Ozzy",0,1563739196,"Smash N' Magic - 3rd Edition",2
"Sabino",2,"BeBop",0,1563739352,"Smash N' Magic - 3rd Edition",2
"Afro",2,"FireEmblem",0,1563739363,"Smash N' Magic - 3rd Edition",2
"RevoS",2,"Haxwei",0,1563740178,"Smash N' Magic - 3rd Edition",2
"Mimok",2,"DJ",0,1563740297,"Smash N' Magic - 3rd Edition",2
"Joaoarara",2,"Roc~",1,1563740446,"Smash N' Magic - 3rd Edition",2
"DJ",2,"Afro",0,1563741194,"Smash N' Magic - 3rd Edition",2
"Sky",1,"mysterE",2,1563741211,"Smash N' Magic - 3rd Edition",2
"Ultimate",1,"Roboto",2,1563741340,"Smash N' Magic - 3rd Edition",2
"Sky",2,"Sabino",1,1563742147,"Smash N' Magic - 3rd Edition",2
"Ultimate",2,"S/Chance",1,1563742230,"Smash N' Magic - 3rd Edition",2
"Haxwei",0,"Joaoarara",2,1563742259,"Smash N' Magic - 3rd Edition",2
"mysterE",1,"Roboto",3,1563743514,"Smash N' Magic - 3rd Edition",3
"DJ",0,"Joaoarara",3,1563743689,"Smash N' Magic - 3rd Edition",3
"RevoS",2,"Mimok",3,1563744008,"Smash N' Magic - 3rd Edition",3
"Ultimate",2,"Sky",3,1563744881,"Smash N' Magic - 3rd Edition",3
"Mimok",0,"Roboto",3,1563745214,"Smash N' Magic - 3rd Edition",3
"mysterE",2,"Joaoarara",3,1563745573,"Smash N' Magic - 3rd Edition",3
"RevoS",3,"Sky",1,1563746276,"Smash N' Magic - 3rd Edition",3
"RevoS",3,"Joaoarara",1,1563747552,"Smash N' Magic - 3rd Edition",3
"Mimok",3,"RevoS",2,1563749204,"Smash N' Magic - 3rd Edition",3
"Roboto",2,"Mimok",3,1563750838,"Smash N' Magic - 3rd Edition",3
"Mimok",3,"Roboto",1,1563751957,"Smash N' Magic - 3rd Edition",3
"Afro",2,"Gim",0,1566141041,"Battle Of Hyrule",2
"Magician",0,"Naty",2,1566142099,"Battle Of Hyrule",2
"BeBop",2,"Najjar",0,1566142252,"Battle Of Hyrule",2
"S/Chance",2,"ChaosPrime",1,1566142391,"Battle Of Hyrule",2
"Considera",2,"Leow",0,1566142946,"Battle Of Hyrule",2
"Luckstorm",0,"Sabino",2,1566143082,"Battle Of Hyrule",2
"Maleson",2,"Morkez",0,1566143413,"Battle Of Hyrule",2
"Ultimate",2,"Mini Vegeta",0,1566143628,"Battle Of Hyrule",2
"Ace",2,"Ren",0,1566143743,"Battle Of Hyrule",2
"Ozzy",0,"JBB",2,1566144934,"Battle Of Hyrule",2
"Arch",2,"Dypherius",1,1566144983,"Battle Of Hyrule",2
"FR7",2,"LonLon",0,1566145030,"Battle Of Hyrule",2
"Strig",1,"LCS",2,1566148577,"Battle Of Hyrule",2
"Considera",0,"Afro",2,1566148693,"Battle Of Hyrule",2
"Alonso",2,"Sully",0,1566148767,"Battle Of Hyrule",2
"LA FLAMME",0,"FireEmblem",2,1566148793,"Battle Of Hyrule",2
"Leow",0,"Gim",2,1566149184,"Battle Of Hyrule",2
"Lou",0,"Haxwei",2,1566149252,"Battle Of Hyrule",2
"Wright",0,"Fy",2,1566149637,"Battle Of Hyrule",2
"Joaoarara",2,"JBB",0,1566150043,"Battle Of Hyrule",2
"Considera",0,"ChaosPrime",2,1566150097,"Battle Of Hyrule",2
"Polon",1,"Mick",2,1566150162,"Battle Of Hyrule",2
"Chadin",1,"DSK",2,1566150204,"Battle Of Hyrule",2
"Mini Vegeta",0,"Magician",2,1566150235,"Battle Of Hyrule",2
"Morkez",2,"Sully",0,1566151112,"Battle Of Hyrule",2
"Floko",2,"Arch",0,1566151207,"Battle Of Hyrule",2
"Wright",1,"Polon",2,1566151345,"Battle Of Hyrule",2
"Sosser",2,"BeBop",1,1566151526,"Battle Of Hyrule",2
"Ihmo",2,"Nenfz",1,1566151566,"Battle Of Hyrule",2
"mysterE",2,"S/Chance",0,1566151845,"Battle Of Hyrule",2
"Chadin",2,"LonLon",0,1566151898,"Battle Of Hyrule",2
"DSK",2,"FR7",0,1566152237,"Battle Of Hyrule",2
"GUCCI",0,"Vyse",2,1566152317,"Battle Of Hyrule",2
"S/Chance",2,"Gim",0,1566152358,"Battle Of Hyrule",2
"Amortax",2,"Anubis570",0,1566152591,"Battle Of Hyrule",2
"mysterE",2,"DSK",0,1566153156,"Battle Of Hyrule",2
"Arch",2,"Morkez",1,1566153730,"Battle Of Hyrule",2
"BeBop",2,"Magician",0,1566153841,"Battle Of Hyrule",2
"Sky",2,"Steel",0,1566153871,"Battle Of Hyrule",2
"Amortax",2,"FireEmblem",1,1566153885,"Battle Of Hyrule",2
"Maleson",2,"Alonso",0,1566153891,"Battle Of Hyrule",2
"Ace",0,"Ihmo",2,1566154252,"Battle Of Hyrule",2
"RevoS",2,"LCS",0,1566154276,"Battle Of Hyrule",2
"Roc~",2,"Chino",0,1566154423,"Battle Of Hyrule",2
"Ultimate",2,"Naty",0,1566154444,"Battle Of Hyrule",2
"Sky",2,"Maleson",0,1566154623,"Battle Of Hyrule",2
"Alonso",2,"Dypherius",0,1566154634,"Battle Of Hyrule",2
"Fy",2,"Mick",0,1566154889,"Battle Of Hyrule",2
"Anubis570",2,"LA FLAMME",0,1566155298,"Battle Of Hyrule",2
"Naty",2,"Najjar",0,1566155543,"Battle Of Hyrule",2
"Luckstorm",0,"Chino",2,1566155565,"Battle Of Hyrule",2
"Ren",0,"Nenfz",2,1566155649,"Battle Of Hyrule",2
"Ace",2,"Ozzy",0,1566155747,"Battle Of Hyrule",2
"FireEmblem",2,"GUCCI",0,1566156260,"Battle Of Hyrule",2
"Floko",2,"Fy",0,1566156295,"Battle Of Hyrule",2
"Steel",0,"Polon",2,1566156330,"Battle Of Hyrule",2
"Luffy",2,"Vyse",0,1566156610,"Battle Of Hyrule",2
"FR7",2,"Strig",0,1566156925,"Battle Of Hyrule",2
"JBB",0,"Nenfz",2,1566156943,"Battle Of Hyrule",2
"Alonso",2,"Polon",0,1566157050,"Battle Of Hyrule",2
"LCS",1,"Chadin",2,1566157361,"Battle Of Hyrule",2
"Joaoarara",2,"Amortax",1,1566157495,"Battle Of Hyrule",2
"Sabino",2,"Roc~",1,1566157598,"Battle Of Hyrule",2
"ChaosPrime",2,"Chadin",0,1566158301,"Battle Of Hyrule",2
"RevoS",2,"Afro",0,1566158325,"Battle Of Hyrule",2
"Mick",0,"Arch",2,1566158439,"Battle Of Hyrule",2
"Fy",0,"Alonso",2,1566158474,"Battle Of Hyrule",2
"Vyse",2,"Anubis570",0,1566158549,"Battle Of Hyrule",2
"Sosser",2,"Sabino",0,1566158595,"Battle Of Hyrule",2
"Luffy",2,"Ihmo",1,1566158674,"Battle Of Hyrule",2
"FR7",0,"S/Chance",2,1566158854,"Battle Of Hyrule",2
"LUGIA",2,"Haxwei",1,1566158900,"Battle Of Hyrule",2
"Maleson",2,"Arch",0,1566159082,"Battle Of Hyrule",2
"FireEmblem",1,"Nenfz",2,1566159292,"Battle Of Hyrule",2
"Afro",2,"S/Chance",0,1566159375,"Battle Of Hyrule",2
"LUGIA",2,"Ultimate",0,1566159462,"Battle Of Hyrule",2
"Roc~",2,"Lou",1,1566159569,"Battle Of Hyrule",2
"Ace",0,"Vyse",2,1566159589,"Battle Of Hyrule",2
"DSK",0,"ChaosPrime",2,1566159709,"Battle Of Hyrule",2
"Ihmo",2,"Nenfz",0,1566159989,"Battle Of Hyrule",2
"Haxwei",2,"Chino",1,1566160224,"Battle Of Hyrule",2
"Roc~",0,"BeBop",2,1566160278,"Battle Of Hyrule",2
"Naty",0,"Haxwei",2,1566161169,"Battle Of Hyrule",2
"Ultimate",0,"BeBop",2,1566165376,"Battle Of Hyrule",2
"Sabino",2,"Haxwei",0,1566165795,"Battle Of Hyrule",2
"ChaosPrime",0,"BeBop",2,1566166310,"Battle Of Hyrule",2
"Sky",2,"Floko",0,1566166972,"Battle Of Hyrule",2
"Vyse",1,"Maleson",2,1566167408,"Battle Of Hyrule",2
"Floko",1,"BeBop",2,1566167932,"Battle Of Hyrule",2
"Sabino",2,"Afro",1,1566168284,"Battle Of Hyrule",2
"RevoS",2,"mysterE",0,1566168762,"Battle Of Hyrule",2
"Luffy",2,"Joaoarara",0,1566168827,"Battle Of Hyrule",2
"mysterE",1,"Ihmo",2,1566169775,"Battle Of Hyrule",2
"Joaoarara",0,"Sabino",2,1566169796,"Battle Of Hyrule",2
"LUGIA",2,"Sosser",0,1566170511,"Battle Of Hyrule",2
"BeBop",1,"Sabino",2,1566170595,"Battle Of Hyrule",2
"Sosser",2,"Maleson",0,1566171283,"Battle Of Hyrule",2
"Luffy",2,"Sky",1,1566171577,"Battle Of Hyrule",2
"Sosser",2,"Ihmo",1,1566172466,"Battle Of Hyrule",2
"RevoS",1,"LUGIA",2,1566172604,"Battle Of Hyrule",2
"Sky",0,"Sosser",2,1566173849,"Battle Of Hyrule",2
"RevoS",2,"Sabino",0,1566173873,"Battle Of Hyrule",2
"Luffy",3,"LUGIA",0,1566174611,"Battle Of Hyrule",3
"Sosser",2,"RevoS",1,1566175251,"Battle Of Hyrule",2
"LUGIA",2,"Sosser",3,1566176579,"Battle Of Hyrule",3
"Luffy",3,"Sosser",2,1566178331,"Battle Of Hyrule",3
"Vyse",2,"LCS",0,1568557447,"Smash n' Magic - 4th Edition",2
"Luffy",2,"Lou",0,1568557565,"Smash n' Magic - 4th Edition",2
"Rhunii",1,"Guizo",2,1568558159,"Smash n' Magic - 4th Edition",2
"Ace",0,"Dark Fox",2,1568559044,"Smash n' Magic - 4th Edition",2
"Shiv",0,"Ozzy",2,1568559059,"Smash n' Magic - 4th Edition",2
"Crisiru07",1,"Sully",2,1568559172,"Smash n' Magic - 4th Edition",2
"Shinomori",2,"Arthunnis",1,1568559409,"Smash n' Magic - 4th Edition",2
"FR7",2,"RoD",0,1568559842,"Smash n' Magic - 4th Edition",2
"Chino",2,"Naty",0,1568559960,"Smash n' Magic - 4th Edition",2
"Steel",2,"JackEvil",0,1568560125,"Smash n' Magic - 4th Edition",2
"Conker",0,"Strig",2,1568560182,"Smash n' Magic - 4th Edition",2
"RitsuoFox",2,"Cyber Twilight",1,1568560345,"Smash n' Magic - 4th Edition",2
"Jayache",0,"GUCCI",2,1568560482,"Smash n' Magic - 4th Edition",2
"S/Chance",2,"Ozzy",0,1568561007,"Smash n' Magic - 4th Edition",2
"LUGIA",2,"Fy",0,1568561039,"Smash n' Magic - 4th Edition",2
"Mimok",2,"Guizo",0,1568561206,"Smash n' Magic - 4th Edition",2
"Arch",2,"Ren",0,1568561491,"Smash n' Magic - 4th Edition",2
"Dypherius",1,"Gim",2,1568561572,"Smash n' Magic - 4th Edition",2
"ChaosPrime",2,"Minus",0,1568561926,"Smash n' Magic - 4th Edition",2
"BeBop",2,"Sully",0,1568562017,"Smash n' Magic - 4th Edition",2
"Chino",2,"Steel",0,1568562153,"Smash n' Magic - 4th Edition",2
"Ultimate",2,"Miguelindo",0,1568562245,"Smash n' Magic - 4th Edition",2
"Sabino",2,"GUCCI",0,1568562479,"Smash n' Magic - 4th Edition",2
"Mick",2,"Jao",1,1568562574,"Smash n' Magic - 4th Edition",2
"Amortax",2,"Gim",0,1568562681,"Smash n' Magic - 4th Edition",2
"Vyse",2,"Dark Fox",0,1568562731,"Smash n' Magic - 4th Edition",2
"Floko",2,"Strig",0,1568563081,"Smash n' Magic - 4th Edition",2
"Maleson",2,"Shinomori",0,1568563234,"Smash n' Magic - 4th Edition",2
"ChaosPrime",0,"FireEmblem",2,1568563708,"Smash n' Magic - 4th Edition",2
"RitsuoFox",2,"Arch",0,1568563728,"Smash n' Magic - 4th Edition",2
"Joaoarara",2,"Mick",0,1568563903,"Smash n' Magic - 4th Edition",2
"Afro",2,"FR7",1,1568567043,"Smash n' Magic - 4th Edition",2
"LUGIA",2,"FireEmblem",0,1568568123,"Smash n' Magic - 4th Edition",2
"S/Chance",1,"Floko",2,1568568282,"Smash n' Magic - 4th Edition",2
"Mimok",2,"Afro",0,1568568343,"Smash n' Magic - 4th Edition",2
"Joaoarara",2,"Maleson",0,1568568364,"Smash n' Magic - 4th Edition",2
"Strig",2,"Kai",0,1568568590,"Smash n' Magic - 4th Edition",2
"Luffy",2,"Chino",0,1568568968,"Smash n' Magic - 4th Edition",2
"Sabino",0,"Amortax",2,1568569160,"Smash n' Magic - 4th Edition",2
"Ultimate",2,"Vyse",1,1568569443,"Smash n' Magic - 4th Edition",2
"Dark Fox",2,"Shiv",1,1568569698,"Smash n' Magic - 4th Edition",2
"Ozzy",0,"Ace",2,1568569836,"Smash n' Magic - 4th Edition",2
"Steel",0,"Jao",2,1568569964,"Smash n' Magic - 4th Edition",2
"BeBop",1,"RitsuoFox",2,1568570001,"Smash n' Magic - 4th Edition",2
"Miguelindo",2,"Conker",0,1568570429,"Smash n' Magic - 4th Edition",2
"Cyber Twilight",2,"Ren",0,1568570610,"Smash n' Magic - 4th Edition",2
"Fy",2,"Dypherius",0,1568570942,"Smash n' Magic - 4th Edition",2
